StateAbbr,Included,All Counties,Ratio,Included total population
DE,3,3,1.0,957247.8
NJ,20,21,0.9523809523809523,8815513.4
RI,4,5,0.8,1008467.0
CT,6,8,0.75,3260957.5999999996
MA,10,14,0.7142857142857143,6590463.4
PA,47,67,0.7014925373134329,12050026.8
NH,7,10,0.7,1225141.0
NY,40,62,0.6451612903225806,18243240.599999998
CA,37,58,0.6379310344827587,38322360.6
FL,40,67,0.5970149253731343,20067954.2
ME,9,16,0.5625,1075373.2
MD,13,24,0.5416666666666666,4977613.4
AZ,8,15,0.5333333333333333,6323301.2
OH,44,88,0.5,9532458.4
SC,23,46,0.5,4110330.4
NC,43,100,0.43,8031528.2
OR,14,36,0.3888888888888889,3410117.0
WA,15,39,0.38461538461538464,6066682.399999999
AL,24,67,0.3582089552238806,3598340.6
VT,5,14,0.35714285714285715,368752.8
IL,35,102,0.3431372549019608,11224153.399999999
MI,28,83,0.3373493975903614,8139437.0
IN,31,92,0.33695652173913043,4950755.6
LA,21,64,0.328125,3382840.8
WI,22,72,0.3055555555555556,3853137.6
VA,40,133,0.3007518796992481,6074964.2
WY,6,23,0.2608695652173913,319209.4
GA,41,159,0.2578616352201258,7435796.4
MO,28,115,0.24347826086956523,4485617.8
UT,7,29,0.2413793103448276,2589757.2
WV,13,55,0.23636363636363636,965662.4
MS,19,82,0.23170731707317074,1736552.8
TN,22,95,0.23157894736842105,4560112.2
OK,17,77,0.22077922077922077,2571607.6
CO,14,64,0.21875,4652232.6
NM,7,33,0.21212121212121213,1288467.2
TX,53,254,0.20866141732283464,24127287.4
AR,15,75,0.2,1821981.0
KY,24,120,0.2,2467975.8
IA,18,99,0.18181818181818182,1914088.4
NV,3,17,0.17647058823529413,2693712.2
MN,15,87,0.1724137931034483,3089201.6
ID,7,44,0.1590909090909091,1157047.8
MT,8,56,0.14285714285714285,679677.6
SD,9,66,0.13636363636363635,513419.80000000005
KS,13,105,0.12380952380952381,1962882.2
ND,5,53,0.09433962264150944,446012.0
NE,8,93,0.08602150537634409,1123839.8
AK,,29,,
DC,,1,,
HI,,5,,
